id,file_uri,file_local_enumeration,tuning,tstart,signal_frequency,signal_drift_rate,signal_snr,start_channel,signal_power,signal_incoherent_power
900274777,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C640.0000.raw.seticore.hits,76,BD,60212.56062466325,42889.438717609395,0.0,17.512359619140625,59221,829702668288.0,829702668288.0
900274491,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C640.0000.raw.seticore.hits,16,AC,60212.56062466325,43192.07842624896,0.0,9.672807693481445,373071,593895030784.0,548789714944.0
900273779,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C544.0000.raw.seticore.hits,52,BD,60212.56062466325,42811.54999995803,0.0,13.936492919921875,117565,726661201920.0,651855921152.0
900276108,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C576.0000.raw.seticore.hits,168,AC,60212.56062466325,43158.48788250201,0.0,17.98848533630371,63456,779987582976.0,779987582976.0
900275004,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C608.0000.raw.seticore.hits,44,AC,60212.56062466325,43159.659614450866,-0.24253192047278088,192.16734313964844,153492,6667379933184.0,6667379933184.0
900274445,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C672.0000.raw.seticore.hits,64,BD,60212.56062466325,42948.82438731765,-14.794447148839634,8.100622177124023,261362,573677895680.0,247866458112.0
900274970,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C608.0000.raw.seticore.hits,10,AC,60212.56062466325,43159.722200281554,0.0,54.82322692871094,186306,2273588805632.0,2334674911232.0
900274379,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.AC.C960.0000.raw.seticore.hits,26,AC,60212.56062466325,43517.85024631732,-38.0775115142266,8.177787780761719,253282,717471875072.0,319548096512.0
900274183,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C608.0000.raw.seticore.hits,64,BD,60212.56062466325,42857.4507739601,0.0,526.1067504882812,65542,18923204378624.0,18923204378624.0
900275313,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C576.0000.raw.seticore.hits,119,BD,60212.56062466325,42849.656113391866,0.24253192047278088,10.981489181518555,173199,587195416576.0,445916250112.0
900274070,/mnt/cosmic-storage-2/data1/vla_target/23A-362.sb43789194.eb44583327.60212.544836180554/23A-362.sb43789194.eb44583327.60212.544836180554.9.1/23A-362.sb43789194.eb44583327.60212.544836180554.9.1.BD.C288.0000.raw.seticore.hits,43,BD,60212.56062466325,42537.42742419814,0.0,31.60845184326172,53300,1026993291264.0,1026993291264.0
