id,file_uri,file_local_enumeration
987212102,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C736.0000.raw.seticore.hits,2
987218327,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C736.0007.raw.seticore.hits,14
987221606,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C736.0014.raw.seticore.hits,5
987222726,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.11.1/23B-169.sb44930600.eb44962607.60307.145388159726.11.1.AC.C736.0000.raw.seticore.hits,10
987226256,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.11.1/23B-169.sb44930600.eb44962607.60307.145388159726.11.1.AC.C736.0007.raw.seticore.hits,13
987230508,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.11.1/23B-169.sb44930600.eb44962607.60307.145388159726.11.1.AC.C736.0014.raw.seticore.hits,12
987233910,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.11.1/23B-169.sb44930600.eb44962607.60307.145388159726.11.1.AC.C736.0021.raw.seticore.hits,12
987236669,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.13.1/23B-169.sb44930600.eb44962607.60307.145388159726.13.1.AC.C736.0000.raw.seticore.hits,11
987241466,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.13.1/23B-169.sb44930600.eb44962607.60307.145388159726.13.1.AC.C736.0007.raw.seticore.hits,4
987243612,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.13.1/23B-169.sb44930600.eb44962607.60307.145388159726.13.1.AC.C736.0014.raw.seticore.hits,2
987249385,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.13.1/23B-169.sb44930600.eb44962607.60307.145388159726.13.1.AC.C736.0021.raw.seticore.hits,3
987251473,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.15.1/23B-169.sb44930600.eb44962607.60307.145388159726.15.1.AC.C736.0000.raw.seticore.hits,10
987255342,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.15.1/23B-169.sb44930600.eb44962607.60307.145388159726.15.1.AC.C736.0007.raw.seticore.hits,10
987257960,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.15.1/23B-169.sb44930600.eb44962607.60307.145388159726.15.1.AC.C736.0014.raw.seticore.hits,12
987261491,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.15.1/23B-169.sb44930600.eb44962607.60307.145388159726.15.1.AC.C736.0021.raw.seticore.hits,3
