,id,signal_frequency,signal_drift_rate,signal_snr,signal_beam,signal_power,signal_incoherent_power,signal_num_timesteps,tstart,tstart_h,ra_hours,dec_degrees,source_name,tuning,file_uri,file_local_enumeration
299,987212639,33066.9764542984,-35.89472422997157,10.103474617004395,0,738318090240.0,425977577472.0,16,60307.15946136881,2023-12-29 03:49:37.462265,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.9.1/23B-169.sb44930600.eb44962607.60307.145388159726.9.1.AC.C512.0000.raw.seticore.hits,185
9021,987228366,33066.9764542984,-13.581787546475729,9.982062339782715,0,736725958656.0,426379640832.0,16,60307.164072213694,2023-12-29 03:56:15.839263,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.11.1/23B-169.sb44930600.eb44962607.60307.145388159726.11.1.AC.C512.0007.raw.seticore.hits,183
25249,987257597,32875.79226736297,-19.40255363782247,8.030517578125,0,792401543168.0,346826211328.0,16,60307.17278390424,2023-12-29 04:08:48.529327,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.15.1/23B-169.sb44930600.eb44962607.60307.145388159726.15.1.AC.C320.0014.raw.seticore.hits,72
35257,987275734,32875.79226736297,-8.731149137020111,8.117437362670898,0,800426754048.0,356254056448.0,16,60307.17746713478,2023-12-29 04:15:33.160445,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C320.0021.raw.seticore.hits,74
