,Unnamed: 0,id,beam_id,observation_id,tuning,subband_offset,file_uri,file_local_enumeration,signal_frequency,signal_index,signal_drift_steps,signal_drift_rate,signal_snr,signal_coarse_channel,signal_beam,signal_num_timesteps,signal_power,signal_incoherent_power,source_name,fch1_mhz,foff_mhz,tstart,tsamp,ra_hours,dec_degrees,telescope_id,num_timesteps,num_channels,coarse_channel,start_channel,tstart_h
15903,19433009,959264357,482112,17926,AC,416,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C416.0028.raw.seticore.hits,203,24150.321372413637,220920,5,2.5985562907797948,26.07658576965332,0,1,8,823909548032.0,823909548032.0,Incoherent,24150.321296119688,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,84,0,220880,2023-12-17 11:23:48.372431
17468,19434574,959265922,482111,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,3855,24404.65863170624,397741,-4,-2.078845032623836,19.63527107238769,30,0,8,642045313024.0,679452606464.0,3073619025268414208,24404.658547782896,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,83,30,397697,2023-12-17 11:23:48.372431
17543,19434649,959265997,482112,17926,AC,640,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C640.0028.raw.seticore.hits,3897,24404.658633613584,397742,-5,-2.5985562907797948,26.960866928100582,30,1,8,681416327168.0,681416327168.0,Incoherent,24404.658547782896,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,84,30,397697,2023-12-17 11:23:48.372431
26942,19444048,959282111,482111,17926,AC,800,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C800.0028.raw.seticore.hits,193,24534.06777896881,87964,-3,-1.559133774467877,34.22041320800781,0,0,8,995441901568.0,956528328704.0,3073619025268414208,24534.067696952818,1.9073486328125e-06,60295.47486542165,0.524288,8.638733333333333,-0.69966,0,8,82,0,87921,2023-12-17 11:23:48.372431
27281,19444387,959282592,482112,17926,AC,800,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C800.0028.raw.seticore.hits,260,24534.06777896881,87964,-2,-1.039422516311918,42.492000579833984,0,1,8,964955340800.0,964955340800.0,Incoherent,24534.067698860166,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,0,87922,2023-12-17 11:23:48.372431
40125,19457231,959305233,482112,17926,AC,800,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C800.0028.raw.seticore.hits,3909,24563.91219844818,6395,2,1.039422516311918,17.789592742919922,30,1,8,468180795392.0,468180795392.0,Incoherent,24563.912122154237,1.9073486328125e-06,60295.47486542165,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,30,6355,2023-12-17 11:23:48.372431
40215,19457321,959305524,482111,17926,AC,800,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C800.0028.raw.seticore.hits,3972,24565.773095512388,457753,2,1.039422516311918,17.394359588623047,31,0,8,557469597696.0,501999861760.0,3073619025268414208,24565.773019218443,1.9073486328125e-06,60295.47484114859,0.524288,8.638733333333333,-0.69966,0,8,81,31,457713,2023-12-17 11:23:46.275238
40334,19457440,959305862,482112,17926,AC,800,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C800.0028.raw.seticore.hits,4039,24565.773095512388,457753,2,1.039422516311918,19.472187042236328,31,1,8,501999861760.0,501999861760.0,Incoherent,24565.773019218443,1.9073486328125e-06,60295.47484114859,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,31,457713,2023-12-17 11:23:46.275238
40449,19457555,959306576,482111,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,39,24310.337369346616,229307,-2,-1.039422516311918,25.03828811645508,0,0,8,753515626496.0,563519225856.0,3073619025268414208,24310.33728923797,1.9073486328125e-06,60295.474816876,0.524288,8.638733333333333,-0.69966,0,8,81,0,229265,2023-12-17 11:23:44.178086
40538,19457644,959306873,482112,17926,AC,576,/mnt/cosmic-storage-2/data2/vla_target/23B-169.sb44907755.eb44921564.60295.44951556713/23B-169.sb44907755.eb44921564.60295.44951556713.11.1/23B-169.sb44907755.eb44921564.60295.44951556713.11.1.AC.C576.0028.raw.seticore.hits,128,24310.337369346616,229307,-2,-1.039422516311918,22.749134063720703,0,1,8,563519225856.0,563519225856.0,Incoherent,24310.33728923797,1.9073486328125e-06,60295.474816876,0.524288,8.63818611117221,-0.6929999990648925,0,8,81,0,229265,2023-12-17 11:23:44.178086
