id,signal_frequency,signal_drift_rate,signal_snr,signal_beam,signal_power,signal_incoherent_power,signal_num_timesteps,tstart,tstart_h,ra_hours,dec_degrees,source_name,tuning,file_uri,file_local_enumeration
987261491,33262.708599607846,0.0,10.775484085083008,0,1165251837952.0,1268231569408.0,16,60307.17346353689,2023-12-29 04:09:47.249587,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.15.1/23B-169.sb44930600.eb44962607.60307.145388159726.15.1.AC.C736.0021.raw.seticore.hits,3
987266279,33262.708599607846,0.0,8.781915664672852,0,1011218907136.0,1191695876096.0,16,60307.175428236835,2023-12-29 04:12:36.999663,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0000.raw.seticore.hits,19
987269320,33262.708599607846,0.0,12.008041381835938,0,1264320512000.0,1258991124480.0,16,60307.17610786948,2023-12-29 04:13:35.719923,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0007.raw.seticore.hits,10
987273324,33262.708599607846,0.0,9.265246391296387,0,1049809190912.0,1177262882816.0,16,60307.17678750213,2023-12-29 04:14:34.440184,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0014.raw.seticore.hits,12
987274971,33262.708599607846,0.0,10.535971641540527,0,1151065522176.0,1321351118848.0,16,60307.17746713478,2023-12-29 04:15:33.160445,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.17.1/23B-169.sb44930600.eb44962607.60307.145388159726.17.1.AC.C736.0021.raw.seticore.hits,12
987278624,33262.708599607846,0.0,11.632658004760742,0,1239425744896.0,1233200611328.0,16,60307.179411220364,2023-12-29 04:18:21.129439,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0000.raw.seticore.hits,15
987281015,33262.708599607846,0.0,9.679744720458984,0,1084372484096.0,1200996876288.0,16,60307.18009085301,2023-12-29 04:19:19.849700,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0007.raw.seticore.hits,11
987285274,33262.708599607846,0.0,11.843830108642578,0,1256456978432.0,1184320061440.0,16,60307.18077048566,2023-12-29 04:20:18.569961,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0014.raw.seticore.hits,4
987287721,33262.708599607846,0.0,10.904082298278809,0,1182007820288.0,1236803387392.0,16,60307.18145011831,2023-12-29 04:21:17.290222,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.19.1/23B-169.sb44930600.eb44962607.60307.145388159726.19.1.AC.C736.0021.raw.seticore.hits,6
987292489,33262.708599607846,0.0,14.192215919494629,0,1444175151104.0,1236958969856.0,16,60307.18343510851,2023-12-29 04:24:08.793375,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.21.1/23B-169.sb44930600.eb44962607.60307.145388159726.21.1.AC.C736.0000.raw.seticore.hits,12
987301063,33262.708599607846,0.0,11.482303619384766,0,1231976136704.0,1280308019200.0,16,60307.18479437381,2023-12-29 04:26:06.233897,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.21.1/23B-169.sb44930600.eb44962607.60307.145388159726.21.1.AC.C736.0014.raw.seticore.hits,16
987301652,33262.708599607846,0.0,11.436622619628906,0,1229841104896.0,1273223184384.0,16,60307.18547400553,2023-12-29 04:27:04.954078,1.289133333333333,0.944188,2535280716217508992,AC,/mnt/cosmic-storage-1/data2/vla_target/23B-169.sb44930600.eb44962607.60307.145388159726/23B-169.sb44930600.eb44962607.60307.145388159726.21.1/23B-169.sb44930600.eb44962607.60307.145388159726.21.1.AC.C736.0021.raw.seticore.hits,10
